Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2024-02-12,18.9877
 2024-02-09,19.0113
 2024-02-08,18.9691
 2024-02-07,18.8512
 2024-02-06,18.9457
 2024-02-05,18.9563
 2024-02-02,18.634
 2024-02-01,18.7164
 2024-01-31,18.7063
 2024-01-30,18.8637
 2024-01-29,18.7665
 2024-01-26,18.9156
 2024-01-25,18.8946
 2024-01-24,18.8663
 2024-01-23,19.0983
 2024-01-22,19.1444
 2024-01-19,18.9904
 2024-01-18,19.005
 2024-01-17,19.0093
 2024-01-16,18.8547
 2024-01-15,18.673
 2024-01-12,18.5818
 2024-01-11,18.6279
 2024-01-10,18.6495
 2024-01-09,18.6387
 2024-01-08,18.8003
 2024-01-05,18.7906
 2024-01-04,18.6562
 2024-01-03,18.5803
 2024-01-02,18.35
 2023-12-29,18.5826
 2023-12-28,18.4346
 2023-12-27,18.4914
 2023-12-22,18.4175
 2023-12-21,18.224
 2023-12-20,18.2888
 2023-12-19,18.5484
 2023-12-18,18.3211
 2023-12-14,18.6113
 2023-12-13,19.0734
 2023-12-12,19.0304
 2023-12-11,19.0689
 2023-12-08,18.8313
 2023-12-07,18.9462
 2023-12-06,18.9274
 2023-12-05,18.8235
 2023-12-04,18.699
 2023-12-01,18.8143
 2023-11-30,18.7328
 2023-11-29,18.5316
 2023-11-28,18.6845
 2023-11-27,18.8238
 2023-11-24,18.8957
 2023-11-23,18.7675
 2023-11-22,18.7665
 2023-11-21,18.3052
 2023-11-20,18.3842
 2023-11-17,18.384
 2023-11-16,18.1758
 2023-11-15,18.1751
 2023-11-14,18.7548
 2023-11-13,18.6871
 2023-11-10,18.6541
 2023-11-09,18.6079
 2023-11-08,18.4134
 2023-11-07,18.3486
 2023-11-06,18.1891
 2023-11-03,18.4397
 2023-11-02,18.4389
 2023-11-01,18.7316
 2023-10-31,18.8016
 2023-10-30,18.8477
 2023-10-27,18.8845
 2023-10-26,19.1819
 2023-10-25,19.0937
 2023-10-24,18.9863
 2023-10-23,19.0807
 2023-10-20,19.1057
 2023-10-19,19.1065
 2023-10-18,18.7548
 2023-10-17,18.7923
 2023-10-16,18.9005
 2023-10-13,18.9642
 2023-10-12,18.8253
 2023-10-11,18.9271
 2023-10-10,19.1573
 2023-10-09,19.3678
 2023-10-06,19.4202
 2023-10-05,19.4553
 2023-10-04,19.325
 2023-10-03,19.2227
 2023-10-02,18.9655
 2023-09-29,18.784
 2023-09-28,19.2105
 2023-09-27,19.0522
 2023-09-26,18.8299
 2023-09-22,18.8488
 2023-09-21,18.8225
 2023-09-20,18.9406
 2023-09-19,18.9623
 2023-09-18,19.0162
 2023-09-15,19.0481
 2023-09-14,18.8964
 2023-09-13,18.9205
 2023-09-12,18.8974
 2023-09-11,18.8866
 2023-09-08,19.1072
 2023-09-07,19.2588
 2023-09-06,19.2574
 2023-09-05,19.2291
 2023-09-04,18.8264
 2023-09-01,18.7612
 2023-08-31,18.687
 2023-08-30,18.5753
 2023-08-29,18.4811
 2023-08-28,18.6976
 2023-08-25,18.6564
 2023-08-24,18.6003
 2023-08-23,18.7366
 2023-08-22,18.8288
 2023-08-21,19.071
 2023-08-18,19.0725
 2023-08-17,19.1627
 2023-08-16,19.0333
 2023-08-15,19.2499
 2023-08-14,18.9699
 2023-08-11,18.8743
 2023-08-10,18.793
 2023-08-08,18.792
 2023-08-07,18.593
 2023-08-04,18.685
 2023-08-03,18.6493
 2023-08-02,18.3776
 2023-08-01,18.08
 2023-07-31,17.7117
 2023-07-28,17.8692
 2023-07-27,17.4946
 2023-07-26,17.6488
 2023-07-25,17.7103
 2023-07-24,18.029
 2023-07-21,17.956
 2023-07-20,17.7673
 2023-07-19,17.8435
 2023-07-18,17.9507
 2023-07-17,18.0381
 2023-07-14,18.0212
 2023-07-13,18.0317
 2023-07-12,18.4797
 2023-07-11,18.666
 2023-07-10,18.7796
 2023-07-07,19.0764
 2023-07-06,18.8717
 2023-07-05,18.7475
 2023-07-04,18.6989
 2023-07-03,18.7255
 2023-06-30,18.9237
 2023-06-29,18.6881
 2023-06-28,18.6692
