name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Argentina,ARG,ARS,2.5,1,8709.072,8709.072,01 04 2000
Argentina,ARG,ARS,2.5,1,8638.543,8638.543,01 04 2001
Argentina,ARG,ARS,2.5,3.13,8085.356,8085.356,01 04 2002
Argentina,ARG,ARS,4.1,2.88,2997.621,9315.73,01 04 2003
Argentina,ARG,ARS,4.36,2.95,3761.088,11098.367,01 05 2004
Argentina,ARG,ARS,4.75,2.897,4314.098,12690.697,01 06 2005
Argentina,ARG,ARS,4.75,3.0638,5163.55,15094.732,01 01 2006
Argentina,ARG,ARS,7,3.0565,5163.55,15094.732,01 05 2006
Argentina,ARG,ARS,8.25,3.08875,5976.082,18370.363,01 01 2007
Argentina,ARG,ARS,8.25,3.0915,5976.082,18370.363,01 06 2007
Argentina,ARG,ARS,11,3.0195,7315.726,22791.226,01 06 2008
Argentina,ARG,ARS,11.5,3.81125,9146.79,28925.107,01 07 2009
Argentina,ARG,ARS,7,3.7985,8337.811,31093.737,01 01 2010
Argentina,ARG,ARS,14,3.93375,8337.811,31093.737,01 07 2010
Argentina,ARG,ARS,20,4.1325,10412.974,40739.985,01 07 2011
Argentina,ARG,ARS,20,4.3135,12787.806,52810.117,01 01 2012
Argentina,ARG,ARS,19,4.56625,12787.806,52810.117,01 07 2012
Argentina,ARG,ARS,19,4.9765,13889.792,63208.892,01 01 2013
Argentina,ARG,ARS,21,5.4125,13889.792,63208.892,01 07 2013
Argentina,ARG,ARS,21,6.92125,14488.829,79338.285,01 01 2014
Argentina,ARG,ARS,21,8.16875,14488.829,79338.285,01 07 2014
Argentina,ARG,ARS,28,8.61,13208.831,107315.212,01 01 2015
Argentina,ARG,ARS,28,9.135,13208.831,107315.212,01 07 2015
Argentina,ARG,ARS,33,13.80925,14895.316,138053.315,01 01 2016
Argentina,ARG,ARS,50,14.935,14895.316,138053.315,01 07 2016
Argentina,ARG,ARS,55,15.8575,12772.868,188760.956,01 01 2017
Argentina,ARG,ARS,70,16.9675,12772.868,188760.956,01 07 2017
Argentina,ARG,ARS,75,18.9375,14618.327,242031.427,01 01 2018
Argentina,ARG,ARS,75,27.725,14618.327,242031.427,01 07 2018
Argentina,ARG,ARS,75,37.455,11786.433,331385.003,01 01 2019
Argentina,ARG,ARS,120,41.8045,11786.433,331385.003,09 07 2019
Argentina,ARG,ARS,171,60.0656,10054.023,485155.344,14 01 2020
Argentina,ARG,ARS,250,71.24065,10054.023,485155.344,01 07 2020
Argentina,ARG,ARS,320,85.3736,8571.937,605476.777,01 01 2021
Argentina,ARG,ARS,380,96.33375,8571.937,605476.777,01 07 2021
Argentina,ARG,ARS,450,105.0165,10616.947,1009600.063,01 01 2022
Argentina,ARG,ARS,590,129.115,10616.947,1009600.063,01 07 2022
Argentina,ARG,ARS,980,184.69875,13655.2,1785086.952,01 01 2023
Argentina,ARG,ARS,1650,275.275,13655.2,1785086.952,01 07 2023
Australia,AUS,AUD,2.59,1.68,21762.397,33722.92,01 04 2000
Australia,AUS,AUD,3,1.98,20895.397,35885.257,01 04 2001
Australia,AUS,AUD,3,1.86,19486.804,37647.15,01 04 2002
Australia,AUS,AUD,3,1.61,21692.334,39884.438,01 04 2003
Australia,AUS,AUD,3.25,1.43,27288.987,41864.05,01 05 2004
Australia,AUS,AUD,3.25,1.3015,32853.008,44602.158,01 06 2005
Australia,AUS,AUD,3.25,1.3308,36232.61,47434.653,01 01 2006
Australia,AUS,AUD,3.25,1.33253,36232.61,47434.653,01 05 2006
Australia,AUS,AUD,3.45,1.266865,37949.097,50373.755,01 01 2007
Australia,AUS,AUD,3.45,1.17,37949.097,50373.755,01 06 2007
Australia,AUS,AUD,3.45,1.026,45180.863,53879.067,01 06 2008
Australia,AUS,AUD,4.34,1.2869,49194.713,57519.863,01 07 2009
Australia,AUS,AUD,4.35,1.09355,45770.5,57841.892,01 01 2010
Australia,AUS,AUD,4.35,1.133722578,45770.5,57841.892,01 07 2010
Australia,AUS,AUD,4.56,0.922381589,56579.027,61532.435,01 07 2011
Australia,AUS,AUD,4.8,0.972337012,67270.358,65171.04,01 01 2012
Australia,AUS,AUD,4.56,0.974326497,67270.358,65171.04,01 07 2012
Australia,AUS,AUD,4.7,0.959094615,68450.314,66084.503,01 01 2013
Australia,AUS,AUD,5.035,1.089858863,68450.314,66084.503,01 07 2013
Australia,AUS,AUD,5.05,1.128859288,65200.366,67326.08,01 01 2014
Australia,AUS,AUD,5.1,1.059378145,65200.366,67326.08,01 07 2014
Australia,AUS,AUD,5.3,1.227219734,61615.051,68256.743,01 01 2015
Australia,AUS,AUD,5.3,1.35126005,61615.051,68256.743,01 07 2015
Australia,AUS,AUD,5.3,1.415728746,51412.25,68311.721,01 01 2016
Australia,AUS,AUD,5.75,1.335737661,51412.25,68311.721,01 07 2016
Australia,AUS,AUD,5.8,1.356668023,51813.644,69652.4,01 01 2017
Australia,AUS,AUD,5.9,1.303016483,51813.644,69652.4,01 07 2017
